epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,92.8887,1.23954,0.60699,1.1652,0.9593,0.99744,0.98918,0.5504,1.442,0.59277,1.28601,0.00104537,0.00104537,0.00104537
82,93.9856,1.24674,0.59847,1.15482,0.96139,0.99745,0.99208,0.56464,1.46623,0.5849,1.27248,0.000955951,0.000955951,0.000955951
83,95.0374,1.27643,0.61297,1.18383,0.96806,0.99968,0.9937,0.5589,1.46107,0.57998,1.27419,0.000870577,0.000870577,0.000870577
84,96.1729,1.24742,0.59186,1.14761,0.96965,1,0.99423,0.55506,1.4429,0.57915,1.28212,0.000789327,0.000789327,0.000789327
85,97.1429,1.26514,0.59567,1.17153,0.96854,0.9976,0.99309,0.55174,1.45028,0.57592,1.2841,0.000712282,0.000712282,0.000712282
86,98.1332,1.20305,0.57722,1.12788,0.96533,0.99748,0.99309,0.54886,1.46457,0.58122,1.28751,0.000639518,0.000639518,0.000639518
87,99.144,1.26866,0.60139,1.16248,0.96173,0.9974,0.99309,0.5476,1.45846,0.58035,1.29025,0.000571106,0.000571106,0.000571106
88,100.141,1.23731,0.58229,1.15355,0.95902,0.9975,0.99309,0.56208,1.44396,0.57279,1.29245,0.000507115,0.000507115,0.000507115
89,101.167,1.23803,0.58342,1.13825,0.9591,0.99768,0.9915,0.56247,1.43283,0.56917,1.28371,0.000447606,0.000447606,0.000447606
90,102.226,1.24439,0.5747,1.16534,0.96058,0.99781,0.99121,0.56927,1.43312,0.56767,1.27458,0.00039264,0.00039264,0.00039264
91,103.637,1.24241,0.56664,1.18145,0.96257,0.99793,0.99049,0.57223,1.43776,0.57067,1.27403,0.00034227,0.00034227,0.00034227
92,104.769,1.23009,0.54953,1.18079,0.96246,0.99785,0.99049,0.56415,1.43398,0.56124,1.26616,0.000296546,0.000296546,0.000296546
93,105.846,1.23587,0.54035,1.16557,0.96118,0.99774,0.98991,0.57068,1.42724,0.56011,1.26535,0.000255513,0.000255513,0.000255513
94,106.933,1.21044,0.54781,1.1812,0.96044,0.99771,0.98962,0.57406,1.42564,0.56073,1.26877,0.000219212,0.000219212,0.000219212
95,108.223,1.21386,0.54108,1.1723,0.95948,0.99769,0.98991,0.57295,1.42703,0.56196,1.27125,0.000187678,0.000187678,0.000187678
96,109.314,1.20106,0.53447,1.16506,0.95853,0.99768,0.99049,0.56965,1.43076,0.56189,1.27116,0.000160943,0.000160943,0.000160943
97,110.385,1.22687,0.54514,1.16558,0.95883,0.99772,0.99049,0.56321,1.42852,0.55908,1.26953,0.000139032,0.000139032,0.000139032
98,111.422,1.21507,0.53851,1.1716,0.95937,0.99769,0.99049,0.56674,1.42589,0.55687,1.26746,0.000121968,0.000121968,0.000121968
99,112.412,1.20302,0.52624,1.15197,0.9602,0.99775,0.99077,0.57426,1.42278,0.55438,1.26785,0.000109768,0.000109768,0.000109768
100,113.45,1.19603,0.53666,1.1507,0.96091,0.99782,0.99019,0.56648,1.42298,0.55261,1.26955,0.000102443,0.000102443,0.000102443
